State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Month
HI,46574.0,4131.0,661.0,0.0,10133.0,0.0,13081.0,0.0,1059.0,17509.0,0.0,0.0,659.0,57.0,15.0,0.0,372.0,0.0,174.0,0.0,15.0,26.0,0.0,0.0,0.0,33
IA,419793.0,300834.0,16806.0,0.0,8402.0,2664.0,2472.0,0.0,4200.0,84415.0,40487.0,293958.0,5348.0,4352.0,177.0,0.0,95.0,13.0,39.0,0.0,23.0,644.0,236.0,4397.0,709.0,33
ID,206363.0,112544.0,1526.0,0.0,1431.0,2910.0,503.0,0.0,18761.0,68688.0,29340.0,82990.0,1980.0,1843.0,15.0,0.0,17.0,39.0,0.0,0.0,42.0,24.0,249.0,1707.0,24.0,33
IL,1355341.0,442192.0,154601.0,306109.0,27824.0,1636.0,1802.0,0.0,47211.0,373966.0,306109.0,675266.0,30829.0,15244.0,7048.0,5629.0,1195.0,41.0,30.0,0.0,161.0,1481.0,5629.0,23719.0,573.0,33
IN,584246.0,347299.0,45834.0,0.0,7185.0,0.0,0.0,0.0,74228.0,109700.0,44720.0,246274.0,13457.0,8622.0,1458.0,0.0,68.0,0.0,0.0,0.0,1727.0,1582.0,324.0,6438.0,6695.0,33
KS,275029.0,187261.0,16739.0,0.0,5654.0,2048.0,0.0,0.0,16026.0,47301.0,56721.0,152993.0,3282.0,2388.0,316.0,0.0,59.0,39.0,0.0,0.0,225.0,255.0,371.0,2519.0,392.0,33
KY,342489.0,211404.0,28936.0,0.0,1548.0,798.0,338.0,15006.0,0.0,84459.0,22806.0,228486.0,4568.0,3581.0,505.0,0.0,36.0,0.0,0.0,120.0,0.0,326.0,127.0,3965.0,476.0,33
LA,570865.0,224410.0,195990.0,0.0,28697.0,1520.0,618.0,0.0,48376.0,71254.0,0.0,0.0,17937.0,9162.0,7735.0,0.0,117.0,18.0,21.0,0.0,78.0,806.0,481.0,16434.0,1022.0,33
MA,490029.0,156448.0,42205.0,117871.0,11358.0,0.0,0.0,0.0,33505.0,128642.0,117871.0,243516.0,30183.0,22805.0,2372.0,2061.0,733.0,0.0,0.0,0.0,1996.0,216.0,2061.0,27906.0,216.0,33
MD,448907.0,121212.0,137863.0,94121.0,8607.0,0.0,0.0,0.0,20900.0,66204.0,94121.0,288582.0,12536.0,5436.0,5047.0,1412.0,459.0,0.0,0.0,0.0,136.0,46.0,1412.0,11078.0,46.0,33
ME,21485.0,15374.0,3040.0,0.0,410.0,54.0,12.0,134.0,567.0,1894.0,710.0,17413.0,449.0,398.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3.0,371.0,75.0,33
MI,638569.0,349673.0,96930.0,0.0,11281.0,3260.0,0.0,36592.0,37295.0,103538.0,40493.0,412997.0,23426.0,13276.0,8249.0,0.0,289.0,78.0,0.0,334.0,487.0,713.0,558.0,19101.0,3767.0,33
MN,492457.0,279933.0,61190.0,59446.0,23001.0,4349.0,565.0,5398.0,6980.0,51595.0,59446.0,381416.0,7661.0,6070.0,637.0,323.0,344.0,132.0,6.0,43.0,18.0,88.0,323.0,7250.0,88.0,33
MO,587755.0,287625.0,65252.0,0.0,4836.0,1242.0,80.0,428.0,40248.0,188051.0,28370.0,302249.0,9267.0,4809.0,1617.0,0.0,68.0,12.0,1.0,0.0,813.0,1947.0,237.0,6273.0,2753.0,33
MP,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,33
MS,368320.0,145034.0,136234.0,10238.0,1365.0,4101.0,0.0,0.0,19305.0,53187.0,10238.0,234451.0,10164.0,4773.0,4588.0,128.0,24.0,258.0,0.0,0.0,141.0,276.0,128.0,8427.0,1633.0,33
MT,109129.0,42425.0,370.0,0.0,215.0,11567.0,0.0,0.0,3357.0,51195.0,1826.0,44741.0,1236.0,403.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,584.0,0.0,0.0,0.0,33
