State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
Colorado,291116.0,0.0498,CO,52728.444444444445,2521.4444444444443,0.047808409707259865,1776.4444444444443,117.44444444444444,0.06612812787779977
Alaska,36217.0,0.0493,AK,4917.888888888889,149.22222222222223,0.029880460139917353,29.444444444444443,0.0,0.0
West Virginia,84775.0,0.0477,WV,8444.666666666666,636.7777777777778,0.07546375499084551,160.0,3.0,0.019397261493965243
Iowa,144373.0,0.0454,IA,53134.77777777778,3805.1111111111113,0.07189113666920995,984.4444444444445,41.111111111111114,0.041987537848416225
Hawaii,49424.0,0.035,HI,5034.555555555556,30.77777777777778,0.006161941567456608,40.55555555555556,,
North Dakota,24749.0,0.0325,ND,8764.777777777777,916.5,0.08990393157950767,106.22222222222223,,
New Mexico,57850.0,0.0276,NM,23253.444444444445,422.0,0.018165278244896152,712.6666666666666,5.555555555555555,0.007737295177579385
Oregon,116586.0,0.0271,OR,22951.555555555555,793.4444444444445,0.03462527496631808,388.77777777777777,9.222222222222221,0.023821953801507527
South Dakota,22617.0,0.025,SD,10505.777777777777,1063.4444444444443,0.102324095276011,152.22222222222223,2.0,0.01298902119987733
New Hampshire,29687.0,0.0216,NH,6957.222222222223,347.3333333333333,0.049938409706429626,423.8888888888889,9.0,0.021235398367927625
Maine,25739.0,0.0191,ME,4188.888888888889,906.3333333333334,0.2165744462419162,127.33333333333333,4.0,0.03143546887643184
Vermont,11345.0,0.0181,VT,1510.7777777777778,168.0,0.11129270192958424,57.77777777777778,,
Wyoming,9555.0,0.0169,WY,3300.6666666666665,33.111111111111114,0.010031909594498591,31.77777777777778,0.3333333333333333,0.009009009009009009
Utah,52703.0,0.0161,UT,46448.444444444445,1102.4444444444443,0.023765566008531504,362.0,6.444444444444445,0.017785059391025048
Idaho,19911.0,0.0109,ID,27326.11111111111,291.55555555555554,0.010733989495913969,273.3333333333333,3.4444444444444446,0.012760621695127487
Montana,10086.0,0.0093,MT,5678.0,32.333333333333336,0.005618232956225409,82.11111111111111,,
,,,AS,,,,,,
,,,GU,669.6666666666666,,,6.222222222222222,,
,,,MP,50.666666666666664,,,2.0,,
,,,VI,756.2222222222222,,,10.222222222222221,,
