State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
Pennsylvania,1607610.0,0.1254,PA,40405.0,3951.3333333333335,0.09742717239039785,1789.0,199.0,0.11259667955645875
Texas,3646880.0,0.1237,TX,13255.166666666666,409.3333333333333,0.06789117911326444,528.0,31.25,0.06499352681291969
Connecticut,437087.0,0.1227,CT,19093.0,2035.3333333333333,0.10298396337206976,1246.5,195.5,0.15252916153914584
Indiana,708540.0,0.105,IN,12120.5,2001.0,0.16679433008690403,644.0,79.5,0.20277001135631603
Nevada,309359.0,0.0985,NV,,,,,,
Kentucky,413151.0,0.0918,KY,3199.3333333333335,339.8333333333333,0.1037850044795489,471.5,81.33333333333333,0.1700375021916316
Oklahoma,358388.0,0.0906,OK,3206.6666666666665,187.33333333333334,0.058182026916127616,193.0,15.666666666666666,0.08007170277648562
Massachusetts,627601.0,0.09,MA,41936.166666666664,2765.0,0.06433807147853625,2009.3333333333333,94.66666666666667,0.0432320193705821
Rhode Island,86052.0,0.0815,RI,7175.666666666667,913.0,0.12660658155778307,219.33333333333334,13.333333333333334,0.06046041879191946
Kansas,214553.0,0.0737,KS,2743.0,369.0,0.1406013504008818,111.25,34.0,0.30506756213572717
Wisconsin,431044.0,0.0737,WI,4780.666666666667,1154.5,0.2429464040367587,228.66666666666666,81.5,0.36403350190114897
Minnesota,410895.0,0.0721,MN,2827.8333333333335,344.5,0.11658841561099621,177.66666666666666,7.5,0.03544259328677401
California,2753570.0,0.0689,CA,33206.833333333336,1476.6666666666667,0.044652991214316574,1215.5,124.66666666666667,0.10108724222832403
Nebraska,113007.0,0.0579,NE,,,,,,
Arizona,390181.0,0.0529,AZ,5269.5,150.83333333333334,0.027069898199473388,208.0,6.666666666666667,0.030986721715483737
Washington,397656.0,0.051,WA,12178.166666666666,481.5,0.0389880437902901,658.5,16.5,0.024675982085090666
Colorado,291116.0,0.0498,CO,11417.4,850.2,0.07404095545983298,546.6,38.6,0.07189124611270084
Alaska,36217.0,0.0493,AK,328.6,6.4,0.019347428457113736,9.0,0.0,0.0
West Virginia,84775.0,0.0477,WV,1041.6666666666667,83.33333333333333,0.08010146455622767,,,
Iowa,144373.0,0.0454,IA,4261.0,524.0,0.1162304241182996,,,
Hawaii,49424.0,0.035,HI,583.0,4.666666666666667,0.007983849789250295,,,
North Dakota,24749.0,0.0325,ND,,,,,,
New Mexico,57850.0,0.0276,NM,2279.6,59.0,0.02620175739878089,,,
Oregon,116586.0,0.0271,OR,2028.75,45.75,0.022421277358166455,,,
South Dakota,22617.0,0.025,SD,,,,,,
New Hampshire,29687.0,0.0216,NH,1610.6666666666667,70.66666666666667,0.043817451810074536,60.0,0.0,0.0
Maine,25739.0,0.0191,ME,1069.0,41.0,0.03835360149672591,,,
Vermont,11345.0,0.0181,VT,845.3333333333334,15.0,0.017751238838550207,44.333333333333336,,
Wyoming,9555.0,0.0169,WY,366.6666666666667,3.6666666666666665,0.009971418299183592,,,
Utah,52703.0,0.0161,UT,4251.0,81.66666666666667,0.019028136496185764,,,
Idaho,19911.0,0.0109,ID,38.0,1.0,0.017549261083743842,60.0,1.0,0.016666666666666666
Montana,10086.0,0.0093,MT,427.0,1.6666666666666667,0.003855474778004211,,,
,,,AS,,,,,,
,,,GU,,,,,,
,,,MP,,,,,,
,,,VI,,,,,,
