State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
New Jersey,1313610.0,0.147,NJ,246493.66666666666,24414.666666666668,0.09906231166190256,16391.333333333332,2881.6666666666665,0.17580429769709394
Ohio,1639040.0,0.1395,OH,233159.0,36618.666666666664,0.15728974967695855,5416.0,908.6666666666666,0.16780424847070205
Missouri,778915.0,0.1263,MO,195918.33333333334,21750.666666666668,0.11109960888672217,3089.0,539.0,0.17433942057187232
Pennsylvania,1607610.0,0.1254,PA,219498.66666666666,26122.666666666668,0.11905177064957469,8909.0,1730.3333333333333,0.1942370215175858
Texas,3646880.0,0.1237,TX,929163.0,9601.0,0.010336138338169511,18380.0,1970.3333333333333,0.10720104046688743
Connecticut,437087.0,0.1227,CT,74901.66666666667,8536.333333333334,0.11405143042172917,4644.0,678.3333333333334,0.14606661017774566
Indiana,708540.0,0.105,IN,194748.66666666666,15278.0,0.07856936668511892,4485.666666666667,486.0,0.1083844633436955
Nevada,309359.0,0.0985,NV,105198.0,6274.0,0.05965527316066083,1815.3333333333333,151.0,0.08320093677282665
Kentucky,413151.0,0.0918,KY,114163.0,9645.333333333334,0.08448407832995562,1522.6666666666667,168.33333333333334,0.1105640672872757
Oklahoma,358388.0,0.0906,OK,129380.33333333333,8663.666666666666,0.0669874634166116,1391.6666666666667,83.33333333333333,0.05988492340898883
Massachusetts,627601.0,0.09,MA,163343.0,14068.333333333334,0.08614091476333215,10061.0,790.6666666666666,0.07858802231698032
Rhode Island,86052.0,0.0815,RI,34792.0,2969.6666666666665,0.08542049852507226,1213.0,62.666666666666664,0.0516629328742829
Kansas,214553.0,0.0737,KS,91676.33333333333,5579.666666666667,0.060922170061307894,1094.0,105.33333333333333,0.09647728634164403
Wisconsin,431044.0,0.0737,WI,260206.66666666666,18905.0,0.0727292770470329,2243.6666666666665,262.3333333333333,0.11716477565786411
Minnesota,410895.0,0.0721,MN,164152.33333333334,20396.666666666668,0.12470980108521403,2553.6666666666665,212.33333333333334,0.08321267723507116
California,2753570.0,0.0689,CA,941167.0,28088.0,0.029844860579509882,17786.0,1314.6666666666667,0.07391717598929894
Nebraska,113007.0,0.0579,NE,76863.0,2954.0,0.038570067273842976,674.6666666666666,42.0,0.06227671140953342
Arizona,390181.0,0.0529,AZ,252456.66666666666,7749.666666666667,0.030698697934052128,6068.0,186.66666666666666,0.030764712223993945
Washington,397656.0,0.051,WA,112375.33333333333,4364.0,0.038834533545721736,2407.0,72.33333333333333,0.03005002699724048
Colorado,291116.0,0.0498,CO,119510.33333333333,4109.0,0.034426769466976564,2215.3333333333335,127.66666666666667,0.05768444928350978
Alaska,36217.0,0.0493,AK,18130.333333333332,598.0,0.03307958868658031,83.66666666666667,3.0,0.03585771658060815
West Virginia,84775.0,0.0477,WV,26424.666666666668,1108.3333333333333,0.04202545741245012,477.0,14.0,0.029394678822816513
Iowa,144373.0,0.0454,IA,139931.0,5602.0,0.040041802997479316,1782.6666666666667,59.0,0.0331110757601201
Hawaii,49424.0,0.035,HI,15524.666666666666,220.33333333333334,0.014194645320565151,219.66666666666666,5.0,0.022762178281920425
North Dakota,24749.0,0.0325,ND,49216.333333333336,1804.0,0.03674478868859912,444.6666666666667,,
New Mexico,57850.0,0.0276,NM,50788.0,825.0,0.01626200747222829,1067.6666666666667,11.666666666666666,0.010928714972159111
Oregon,116586.0,0.0271,OR,47642.0,1475.6666666666667,0.030996778877773107,708.6666666666666,19.0,0.0267893602164726
South Dakota,22617.0,0.025,SD,50839.666666666664,1559.0,0.030752097998795,477.6666666666667,4.666666666666667,0.00978374716804991
New Hampshire,29687.0,0.0216,NH,11755.0,423.3333333333333,0.03607393487018149,485.3333333333333,9.0,0.018544496556814994
Maine,25739.0,0.0191,ME,7161.666666666667,1013.3333333333334,0.14185653310775748,149.66666666666666,4.0,0.026731113498030794
Vermont,11345.0,0.0181,VT,2285.0,203.66666666666666,0.0892295992150155,58.333333333333336,,
Wyoming,9555.0,0.0169,WY,15359.0,129.33333333333334,0.008420941736993814,102.0,1.0,0.009929997407311382
