State,BlackTotal,BlackPerc,State_Code,Cases_Total,Cases_Black,Covid_BlackPerc,Deaths_Total,Deaths_Black,Death_BlackPerc
West Virginia,84775.0,0.0477,WV,13279.0,838.5555555555555,0.06371888153454196,288.55555555555554,4.777777777777778,0.015894196857005202
Iowa,144373.0,0.0454,IA,77197.11111111111,4680.666666666667,0.06077241666242846,1240.6666666666667,45.55555555555556,0.03666948483327205
Hawaii,49424.0,0.035,HI,10914.777777777777,105.0,0.009379755301517769,107.0,5.0,0.041167491261114575
North Dakota,24749.0,0.0325,ND,16825.222222222223,1161.6666666666667,0.07022649143895132,143.88888888888889,,
New Mexico,57850.0,0.0276,NM,27292.666666666668,952.5555555555555,0.03397974869849325,834.8888888888889,7.333333333333333,0.008774288077739688
Oregon,116586.0,0.0271,OR,30156.666666666668,1018.6666666666666,0.03379180346945109,515.8888888888889,12.0,0.02329602690582096
South Dakota,22617.0,0.025,SD,17874.666666666668,1222.3333333333333,0.06963941083079961,192.88888888888889,2.0,0.010465204520446482
New Hampshire,29687.0,0.0216,NH,7790.888888888889,370.77777777777777,0.04762327166132639,436.22222222222223,9.0,0.02063245416533759
Maine,25739.0,0.0191,ME,4968.444444444444,958.3333333333334,0.19328527047374588,137.22222222222223,4.0,0.029162509149540203
Vermont,11345.0,0.0181,VT,1695.3333333333333,174.0,0.10268981652987033,58.0,,
Wyoming,9555.0,0.0169,WY,4736.333333333333,44.44444444444444,0.009398201171592072,45.77777777777778,1.0,0.021996234336788795
Utah,52703.0,0.0161,UT,61569.666666666664,1320.6666666666667,0.021547899870943205,436.1111111111111,7.0,0.016068535493293463
Idaho,19911.0,0.0109,ID,36755.11111111111,348.44444444444446,0.00951532165222462,425.8888888888889,4.0,0.009446825970342722
Montana,10086.0,0.0093,MT,9918.222222222223,58.666666666666664,0.005878352472734514,144.33333333333334,,
,,,AS,,,,,,
,,,GU,2002.3333333333333,,,29.77777777777778,,
,,,MP,63.44444444444444,,,2.0,,
,,,VI,1240.888888888889,,,18.333333333333332,,
